         4688146 function calls (4563357 primitive calls) in 3.933 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.064    0.005 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:719(add_linking_library)
        1    0.000    0.000    0.064    0.064 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/arrayobj.py:4175(_empty_nd_impl)
        1    0.000    0.000    0.063    0.063 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/arraymath.py:1(<module>)
       12    0.000    0.000    0.063    0.005 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:723(add_ir_module)
        1    0.000    0.000    0.062    0.062 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/base.py:876(compile_internal)
     12/5    0.000    0.000    0.061    0.012 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/ir_utils.py:589(remove_dead)
        1    0.000    0.000    0.061    0.061 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/base.py:847(compile_subroutine)
        1    0.000    0.000    0.061    0.061 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/base.py:809(_compile_subroutine_no_cache)
    18952    0.023    0.000    0.061    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/base_events.py:426(create_task)
79225/12912    0.042    0.000    0.060    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/ir.py:318(_rec_list_vars)
        1    0.000    0.000    0.057    0.057 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/arraymath.py:32(_check_blas)
        1    0.000    0.000    0.057    0.057 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/linalg.py:55(ensure_blas)
        1    0.000    0.000    0.056    0.056 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/scipy/linalg/__init__.py:1(<module>)
    38088    0.015    0.000    0.056    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/base_events.py:736(call_soon)
        1    0.000    0.000    0.055    0.055 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/compiler.py:811(compile_internal)
    96/70    0.008    0.000    0.054    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/analysis.py:23(compute_use_defs)
        2    0.000    0.000    0.053    0.026 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typed_passes.py:381(run_pass)
        2    0.000    0.000    0.053    0.026 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/parfor.py:3058(run)
      184    0.052    0.000    0.053    0.000 /Users/adam/git/personal/simian/new/simulation.py:30(update_grid)
    10285    0.002    0.000    0.052    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/ir.py:351(list_vars)
   294/48    0.000    0.000    0.051    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/context.py:415(_load_builtins)
 2646/432    0.006    0.000    0.050    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/context.py:428(install_registry)
      153    0.000    0.000    0.050    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typeinfer.py:704(__call__)
    56/54    0.000    0.000    0.049    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typeinfer.py:575(__call__)
   101/32    0.002    0.000    0.049    0.002 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/ir_utils.py:632(remove_dead_block)
      209    0.000    0.000    0.045    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:606(generic)
        1    0.000    0.000    0.045    0.045 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typed_passes.py:352(run_pass)
        1    0.000    0.000    0.045    0.045 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/parfor.py:2953(run)
      209    0.000    0.000    0.045    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:697(_get_impl)
      246    0.000    0.000    0.042    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:1046(__init__)
      7/4    0.001    0.000    0.042    0.010 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/parfor.py:4657(remove_dead_parfor)
      190    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:856(get_code)
      258    0.001    0.000    0.041    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:899(_get_target_registry)
      239    0.000    0.000    0.041    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/templates.py:1092(_init_once)
        1    0.000    0.000    0.040    0.040 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/np/ufunc/parallel.py:255(build_gufunc_wrapper)
   455247    0.030    0.000    0.039    0.000 {built-in method builtins.isinstance}
    38088    0.017    0.000    0.038    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/base_events.py:765(_call_soon)
      216    0.000    0.000    0.037    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        4    0.000    0.000    0.036    0.009 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/types/functions.py:389(get_call_type)
