         13633529 function calls (13507492 primitive calls) in 14.321 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  211/206    0.000    0.000    0.091    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/context.py:189(resolve_function_type)
  211/206    0.000    0.000    0.091    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typing/context.py:233(_resolve_user_function_type)
    68/63    0.000    0.000    0.091    0.001 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/lowering.py:1170(lower_expr)
  203/201    0.000    0.000    0.089    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/typeinfer.py:1539(resolve_call)
        7    0.000    0.000    0.089    0.013 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:781(_finalize_final_module)
        5    0.000    0.000    0.086    0.017 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/ir_utils.py:1507(simplify)
        1    0.000    0.000    0.086    0.086 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/parfors/parfor_lowering.py:1643(call_parallel_gufunc)
        7    0.000    0.000    0.078    0.011 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:996(_finalize_specific)
    54/51    0.000    0.000    0.078    0.002 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/base.py:1189(__call__)
    54/51    0.000    0.000    0.077    0.002 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/base.py:1218(wrapper)
   168064    0.064    0.000    0.077    0.000 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/asyncio/events.py:31(__init__)
        7    0.000    0.000    0.077    0.011 /Users/adam/.pyenv/versions/3.9.2/lib/python3.9/site-packages/numba/core/codegen.py:667(_optimize_final_module)
